date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:13	126/126	---MCZ	200	added ('OK')	text/plain	date:Mon,%2001%20Nov%202021%2011:18:12%20GMT	https://setsail.qodeinteractive.com/robots.txt		(from )
16:48:14	280913/280913	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Oct%202021%2013:14:21%20GMT	https://setsail.qodeinteractive.com/	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/index.html	(from )
16:48:14	114716/114716	---M--	200	added ('OK')	image/jpeg	etag:%221c01c-59d449142919b%22	https://setsail.qodeinteractive.com/wp-content/uploads/2018/09/open_graph.jpg	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/wp-content/uploads/2018/09/open_graph.jpg	(from https://setsail.qodeinteractive.com/)
16:48:15	58200/58200	---MCZ	200	added ('OK')	text/css	etag:W/%22e358-5bf4ea78f525d%22	https://setsail.qodeinteractive.com/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/wp-includes/css/dist/block-library/style.min.css	(from https://setsail.qodeinteractive.com/)
16:48:15	70108/70108	---MC-	200	added ('OK')	application/rss+xml	etag:%22d965a6aa4af0191c867004e9b2b86055%22	https://setsail.qodeinteractive.com/feed/	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/feed/index.html	(from https://setsail.qodeinteractive.com/)
16:48:15	9384/9384	---MC-	200	added ('OK')	application/rss+xml	etag:%2286e94f4c2ff80d17a21b966f75bf112b%22	https://setsail.qodeinteractive.com/comments/feed/	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/comments/feed/index.html	(from https://setsail.qodeinteractive.com/)
16:48:15	3276/3276	---MCZ	200	added ('OK')	text/css	etag:W/%22ccc-5bf4ef40e76ed%22	https://setsail.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css	(from https://setsail.qodeinteractive.com/)
16:48:16	170634/170634	---MCZ	200	added ('OK')	text/css	etag:W/%2229a8a-5bf4ef40e6f1d%22	https://setsail.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css	(from https://setsail.qodeinteractive.com/)
16:48:16	1379/1379	---MCZ	200	added ('OK')	text/css	etag:W/%22563-5bf4e9c3adeac%22	https://setsail.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-bar.css	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-bar.css	(from https://setsail.qodeinteractive.com/)
16:48:17	2630/2630	---MCZ	200	added ('OK')	text/css	etag:W/%22a46-5bf4ef1c63ade%22	https://setsail.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles.css	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles.css	(from https://setsail.qodeinteractive.com/)
16:48:18	7504/7504	---MCZ	200	added ('OK')	text/css	etag:W/%225e4e4f3b-1d50%22	https://export.qodethemes.com/_toolbar/assets/css/rbt-modules.css?ver=5.7	C:/My%20Web%20Sites/Tour/export.qodethemes.com/_toolbar/assets/css/rbt-modulese23c.css	(from https://setsail.qodeinteractive.com/)
16:48:18	61159/61159	---MCZ	200	added ('OK')	text/css	etag:W/%22eee7-5bf4ea4bed7f2%22	https://setsail.qodeinteractive.com/wp-content/plugins/revslider/public/assets/css/rs6.css	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/wp-content/plugins/revslider/public/assets/css/rs6.css	(from https://setsail.qodeinteractive.com/)
16:48:19	30285/30285	---MCZ	200	added ('OK')	text/css	etag:W/%22764d-5bf4e8dec9640%22	https://setsail.qodeinteractive.com/wp-content/plugins/setsail-membership/assets/css/membership.min.css	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/wp-content/plugins/setsail-membership/assets/css/membership.min.css	(from https://setsail.qodeinteractive.com/)
16:48:19	4677/4677	---MCZ	200	added ('OK')	text/css	etag:W/%221245-5bf4e8dec9640%22	https://setsail.qodeinteractive.com/wp-content/plugins/setsail-membership/assets/css/membership-responsive.min.css	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/wp-content/plugins/setsail-membership/assets/css/membership-responsive.min.css	(from https://setsail.qodeinteractive.com/)
16:48:21	417663/417663	---MCZ	200	added ('OK')	text/css	etag:W/%2265f7f-5bf4ec94a5740%22	https://setsail.qodeinteractive.com/wp-content/themes/setsail/assets/css/modules.min.css	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/wp-content/themes/setsail/assets/css/modules.min.css	(from https://setsail.qodeinteractive.com/)
16:48:21	88802/88802	---MCZ	200	added ('OK')	text/css	etag:W/%2215ae2-5bf4ef4bdff80%22	https://setsail.qodeinteractive.com/wp-content/plugins/setsail-tours/assets/css/tours.min.css	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/wp-content/plugins/setsail-tours/assets/css/tours.min.css	(from https://setsail.qodeinteractive.com/)
16:48:22	28522/28522	---MCZ	200	added ('OK')	text/css	etag:W/%226f6a-5bf4e7dd4b6c0%22	https://setsail.qodeinteractive.com/wp-content/themes/setsail/assets/css/modules-responsive.min.css	C:/My%20Web%20Sites/Tour/setsail.qodeinteractive.com/wp-content/themes/setsail/assets/css/modules-responsive.min.css	(from https://setsail.qodeinteractive.com/)
